,Link,content,News_date
0,https://timesofindia.indiatimes.com/world/middle-east/more-than-40-people-still-stranded-the-day-after-a-deadly-cable-car-accident-in-turkey/articleshow/109268944.cms,"ISTANBUL : More than 40 people remained stranded in cable cars high above a mountain in southern Turkey on Saturday, 19 hours after one pod hit a pole and burst open, killing 1 person and injuring 7. The accident occurred around 5:30 p.m. Friday at the Tunektepe cable car just outside the Mediterranean city of Antalya during the busy Eid al-Fitr holiday. Operations to rescue the stranded people continued throughout the night. ""128 citizens in 16 pods have been rescued under difficult conditions,"" Okay Memis, director of the Turkish search and rescue agency AFAD, told media Saturday morning. ""The rescue of 43 others in eight remaining pods is ongoing."" He added that rescuers hope to complete rescue operations before dark. The casualties occurred when a pod hit a pole and burst open, sending its passengers plummeting to the mountainside below, officials said. State-run Anadolu Agency identified the deceased as a 54-year-old Turkish man. The injured were six Turkish citizens and one Kyrgyz national, including two children. They were rescued by Coast Guard helicopters. Images in Turkish media showed the battered car swaying from dislodged cables on the side of the rocky mountain as medics tended the wounded. A total of 543 first responders and seven helicopters are involved in the rescue operations, including teams from AFAD, the Coast Guard, firefighting teams and mountaineering teams from different parts of Turkey, officials said. Friday was the final day of a three-day public holiday in Turkey marking the end of the Muslim holy month of Ramadan, which sees families flock to coastal resorts. The cable car carries tourists from Konyaalti beach to a restaurant and viewing platform at the summit of the 618-meter (2,010-foot) Tunektepe peak. It is run by Antalya Metropolitan Municipality. The cable car line was completed in 2017 and receives a major inspection around the beginning of the year, as well as routine inspections throughout the year. Antalya Chief Public Prosecutor's Office has launched an investigation. An expert commission including mechanical and electrical engineers and health and safety experts was assigned to determine the cause of the incident.","Updated: Apr 13, 2024, 15:25 IST"
1,https://timesofindia.indiatimes.com/city/delhi/5-injured-in-car-truck-collision-in-delhis-pushp-vihar/articleshow/109370695.cms,"NEW DELHI: At least five people sustained injuries when a car collided with a truck in the Pushp Vihar locality of south Delhi on Wednesday, according to police reports. The accident occurred at approximately 1pm as the car driver attempted to avoid hitting a scooter rider. ""A team was sent to the spot and upon reaching the scene, a car was found rammed into a junk truck on a roadside,"" a senior police officer said. The police stated that the driver of the car attempted to rescue a woman on a scooter but lost control of the vehicle. ""The car driver, along with three other passengers, a female scooter rider and another man on a motorcycle received injuries and were rushed to the hospital,"" said the officer.","Updated: Apr 17, 2024, 15:21 IST"
2,https://timesofindia.indiatimes.com/city/bhopal/two-including-bjp-office-bearer-killed-in-mp-car-accident/articleshow/109187647.cms,"BHOPAL: Two persons including a BJP leader were killed after being hit by a car driven by a trainee pilot in Guna district of Madhya Pradesh. There were two trainee pilots in the car when the mishap occurred. The incident took place on Tuesday around 11.45pm. Deceased were identified as BJP leader Anand Raghuvanshi and Kamlesh Yadav , the husband of Mohanpur Sarpanch. The President of Sarpanch Association, Manoj Dhakad, was also severely injured in the incident. According to reports, the victims were engaged in a conversation while parking their scooter on the main road outside New City Colony when a speeding car from Ambedkar intersection struck them. Kamlesh Yadav died on the spot while Anand Raghuvanshi succumbed to his injuries en route to Bhopal. Manoj Dhakad has been referred to Bombay Hospital, Indore for medical treatment. The mishap sparked outrage among the family members and supporters, who blocked the road in front of New City Colony on Nanakhedi Mandi Road the following morning. Intervention from police and administration officials helped pacify the situation. It is alleged that the occupants of the car responsible for the accident were allegedly under the influence of alcohol. The police have detained the trainee pilots – from Nodia from Hyderabad. Both were undergoing pilot training at an academy in Guna. Union Minister Jyotiraditya Scindia reached the hospital during the night. All scheduled programs in Guna and Bamori for the following day were postponed in light of the incident. Anand Raghuvanshi, a resident of Annapurna Colony, leaves behind his grieving family, including his mother, wife, 15-year-old daughter, and 13-year-old son. Anand is a farmer and owns a milk business.","Updated: Apr 10, 2024, 15:24 IST"
3,https://timesofindia.indiatimes.com/city/ranchi/girl-killed-sister-injured-after-car-rams-into-them-in-jharkhands-dumka/articleshow/109157904.cms,"DUMKA: A teenage girl was killed and her sister sustained injuries after a speeding car rammed into them outside their house in Jharkhand's Dumka district on Tuesday morning, police said. The victims, Muskan Kumari (17) and Shallu Kumari (19), were by the doorstep of their house in Sonuadangal locality when the accident happened, according to officer-in-charge Amit Kumar Lakra of Dumka Town Police Station. Muskan was pronounced dead at Phulo Jhano Medical College Hospital, while Shallu is currently receiving medical care. The driver of the vehicle faced retaliation from locals and is now hospitalized in critical condition, as reported by the police officer.","Updated: Apr 9, 2024, 13:42 IST"
4,https://timesofindia.indiatimes.com/city/gurgaon/gurgaon-ba-student-dies-as-car-hits-divider-flips-falls-20ft-from-nh-8-flyover/articleshow/109360700.cms,"GURGAON: A 22-year-old college student died and two of his friends were injured when the SUV in which they were travelling crashed into a divider on an NH-8 flyover in Jharsa, flipped a couple of times and fell 20ft below. The accident occurred around 10pm when Rishabh - a second-year BA student of KR Mangalam University in Sohna - was going towards Rajiv Chowk with his friends Kamal and Naman. Rishabh was behind the wheel of the KIA Seltos, which was just a month old. Police said the impact of the accident suggested that the SUV was being driven at high speed. Blood samples of Rishabh are being tested to find out if he was drunk while driving. Assistant sub-inspector Surender said the car fell through the gap between the two elevated carriageways. ""Fortunately, there was nobody on the footpath where the car landed. Otherwise, there could have been more casualties. After the car landed on its roof, its airbags opened. All three occupants suffered injuries,"" he added. Passersby were the first rescuers. Before an NHAI patrolling team reached the accident spot, the three injured students were pulled out of the car and taken to hospital. ""We removed the car quickly so that it did not cause any traffic congestion. But by the time we reached, the injured persons were already taken to hospital. We came to know that one of them was critically injured,"" said route patrolling officer Vijay. Private firm employee Pankaj, who was passing by, stopped after he heard a loud crash. ""I was on the service lane when the car fell off the flyover. Other people managed to pull them out of the car and rush them to hospital in an ambulance. One of them was bleeding profusely,"" he added. Rishabh, who was admitted at Medanta-The Medicity, succumbed to injuries during treatment. ""The two others suffered multiple fractures. But they are out of danger. They couldn't speak much because of injuries in their face,"" ASI Surender said. There are no CCTV cameras in the area where the accident occurred. ""The car first hit the divider and flipped. It then fell through the gap between the carriageways. This suggests that the car was cruising at high speed. Blood samples of the driver will be tested to check if he was under the influence of alcohol,"" the ASI said. Police said Rishabh, the son of an IT professional, lived in Sector 17. His friends Kamal (23) and Naman (19) are from Sukhrali and Sector 31, respectively, and study in different colleges in the city. ""They were travelling from Sukhrali to Rajiv Chowk when they met with the accident near Jharsa Chowk. Rishabh was driving the car, which he had bought only a month ago,"" Surender said.","Updated: Apr 17, 2024, 07:43 IST"
5,https://timesofindia.indiatimes.com/city/dehradun/4-killed-after-car-plunges-into-river-in-uttarakhands-bageshwar/articleshow/109281582.cms,"DEHRADUN: Four people, including two brothers, were killed after their car fell into a river in Bageshwar district of Uttarakhand on Sunday morning. The incident took place on the Rima-Gharamghar motor road near Chidag at around 4am,"" said Kailash Negi, Bageshwar Kotwali Station House Officer (SHO) The car plunged 250 meters into a river, resulting in serious injuries to all occupants. The police, along with the State Disaster Response Force and local residents, rescued the victims from the river. Unfortunately, despite efforts to save them, they were pronounced dead upon arrival at the hospital. The deceased, identified as Kamal Prasad, Niraj Kumar, Dipak Arya, and Kailash Ram, were aged between 25 and 30 years. SHO Negi confirmed that Niraj and Dipak were siblings. The families of the deceased have been notified. The victims hailed from Vadyuda Rima and Junyal Dofad.","Updated: Apr 14, 2024, 12:24 IST"
6,https://timesofindia.indiatimes.com/city/ranchi/bihar-man-dies-in-ramgarh-accident/articleshow/109229651.cms,"Ramgarh: A 35-year old man from Patna in Bihar died and three others were critically injured when the car they were travelling in collided with a truck parked on the Ramgarh-Bokaro stretch of the NH-23 on Thursday. The passengers were heading towards Rajrappa temple, police said. The officer in-charge of the Ramgarh police station, Ajay Kumar Sahu, said the deceased was identified as Sujit Mehta. TNN"," Apr 12, 2024, 04:34 IST"
7,https://timesofindia.indiatimes.com/city/shimla/four-killed-in-road-accident-in-anni-area-of-kullu-district-in-himachal/articleshow/109246588.cms,"SHIMLA: Four people died in a car accident in the Anni police station area of Kullu district . As soon as information about the accident was received, the police station rushed to the spot. According to the information received, this accident occurred near the Choinala area on the Ranabagh-Karshala road. As the car fell into a gorge about 700 feet deep, retrieving the bodies from the ditch required great effort. Those killed in the accident were from Bishal and Khaneri villages of the Anni subdivision. Upon receiving the information, the police team from Anni immediately set out for the location to initiate the rescue operation. According to the information, the ill-fated car was driven by Surender Kumar (40) of Bishal village . The other three occupants of the car have been identified as Bir Singh (43) of Khaneri, Sushil Kumar (36) of Bishal, and Sanjeev Kumar (34) of Khaneri village .","Updated: Apr 12, 2024, 16:10 IST"
8,https://timesofindia.indiatimes.com/city/chennai/five-killed-in-car-bus-collision-in-tamil-nadus-tiruppur/articleshow/109155810.cms,"TIRUPPUR : Five members of a family including a three-month-old baby girl were killed in a collision between their car and a state government bus near Olapalayam, police said on Tuesday. The incident occurred on the national highway as the family was returning from a temple in Thirukadaiyur. The car, driven by the younger son, collided head-on with the bus from Tiruchirappalli. The impact led to the immediate demise of Chandrasekaran, 60, his wife Chitra, 57, his elder daughter-in-law Aruvivithra, and the infant. Sadly, the elder son, Sasidharan, sustained severe injuries and is hospitalized. The police are actively investigating the case, while the community mourns this devastating loss.","Updated: Apr 9, 2024, 12:33 IST"
9,https://timesofindia.indiatimes.com/city/kochi/3-of-family-killed-in-road-accident-in-kerala/articleshow/109283662.cms,"WAYANAD: Three members of a family died in a car crash with an inter-state bus in Wayanad. The incident happened in Vythiri, injuring three others from Kondotty, Malappuram. The family was returning from Mysuru when the accident occurred around 6.30 AM. Police are investigating the cause of the collision. 'The reason for the accident is yet to be ascertained,' said the authorities."," Apr 14, 2024, 11:38 IST"
