,Link,content,News_date
0,https://timesofindia.indiatimes.com/city/trichy/boy-killed-in-road-accident/articleshow/107443549.cms,"Trichy : A 15-year-old boy was killed after he was hit by an unidentified car at Rayampuram in the district on Monday evening. Police said K Vasan, a Class X student of Rayampuram village, and his neighbour M Manikandan, 16, were walking towards a shop in the village on Monday evening. At that time, a sports utility vehicle (SUV) rammed the boys and fled the scene. Vasan succumbed to injuries on the spot while Manikandan was rushed to Ariyalur Government Medical College Hospital with grievous injuries. Meanwhile, villagers including relatives of Vasan blocked the Sendurai-Ariyalur state highway with the victim’s body. On information, revenue and police officials rushed to the spot and held talks. After they assured to investigate and book the perpetrator involved, the protest was withdrawn. Explore Your Financial Landscape with Personalized Credit Insights."," Feb 6, 2024, 08:44 IST"
1,https://timesofindia.indiatimes.com/city/gurgaon/3-killed-in-accident-in-haryanas-hisar/articleshow/107554146.cms,"HISAR: Three men were killed and three others were injured in a car accident near a village in Hisar, according to the police. The passengers were returning to Hisar after attending a wedding ceremony in Bhiwani district on Thursday night when the driver lost control of the vehicle and crashed into a tree. The accident occurred in Harikot village. All of the individuals involved in the accident were employees of Haryana power utility, Dakshin Haryana Bijli Vitran Nigam (DHBVN). The deceased have been identified as junior engineer Bhuvnesh Sangwan from Rewari, Mandeep Kundu from Hisar, and Rajesh from Fatehabad. The injured individuals have been admitted to a hospital in Hisar. Explore Your Financial Landscape with Personalized Credit Insights.","Updated: Feb 9, 2024, 15:24 IST"
2,https://timesofindia.indiatimes.com/city/delhi/kid-crushed-by-car-bizman-held-latest-news/articleshow/107508185.cms,"New Delhi: A two-and-a-half-year-old boy was crushed to death under a car while walking near a road in northwest Delhi’s Mukherjee Nagar on Wednesday. The suspect, identified as Mehak Bansal (38), a businessman, has been arrested, police said. The incident which was captured by a CCTV camera, showed a red car colliding with the toddler as he was seen running to the other side. The accused, who was behind the wheel, inadvertently ran over the child, resulting in fatal injuries. Parents and bystanders rushed to the child's aid, transporting him to hospital for urgent medical attention. ""Upon receiving the information, a team rushed to the hospital, where it was discovered that the child had succumbed to his injuries. A case has been registered under Section 279 for rash driving and Section 304(a) for death caused by negligence,"" said Jitender Meena, DCP (Northwest). Explore Your Financial Landscape with Personalized Credit Insights."," Feb 8, 2024, 08:14 IST"
3,https://timesofindia.indiatimes.com/city/ahmedabad/man-swerves-car-trying-to-save-dog-loses-wife-files-fir-against-himself/articleshow/107441899.cms,"AHMEDABAD: No city in Gujarat is immune from stray dog menace. A while ago, Gujarat high court admitted it was getting tough for citizens to go on morning walks because of stray dogs. And, yet, when a stray dog jumped in front of his car, causing him to crash into barricades that led to his wife's death , a 55-year-old from Narmada district blamed himself for it. Paresh Doshi, a teacher, filed an FIR against himself for the accident in Sabarkantha on Sunday afternoon. Doshi and his wife, Amita, were returning from Ambaji temple when the accident occurred near Daan Mahudi village on the Kheroj-Khedbrahma highway. He stated in his FIR that the fatal accident resulted solely from his negligence while driving, as he rammed into barricades to avoid hitting the dog. Doshi told the police, ""My wife and I left our house early on Sunday and reached Ambaji temple around noon. However, the temple was closed. We waited till 1.30pm, offered our prayers and left. I was driving towards Suka Amba village when a stray dog ran in front of our car. I swerved to avoid hitting the canine and lost control of the vehicle, which rammed sideways into makeshift pillars and barricades on the roadside."" ‘Couple got trapped due to auto lock’ One of the barricades pierced through the car’s passenger window and pinned Amita to the seat. “She suffered grievous injuries. Due to the impact, the auto lock mechanism got engaged, trapping us inside,” said Doshi in the FIR.“Bystanders rushed to the rescue. Someone broke the glass on the window, opened the lock and helped us out of the car. Amita was rushed to the hospital, where she was declared dead,” Doshi said. He filed a complaint of causing death by negligence and rash driving against himself. Explore Your Financial Landscape with Personalized Credit Insights.","Updated: Feb 6, 2024, 07:44 IST"
4,https://timesofindia.indiatimes.com/city/jaipur/car-accident-in-jhalawar-kota-2-killed-3-critically-injured/articleshow/107612340.cms,"Kota: Two people were killed and three others were critically injured on Saturday night when their car plunged into a ditch after hitting a bridge wall near Manyakhedi village in Jhalawar district. The deceased were identified as Suhail Mohammad (22) and Sameer Shah (24), both residents of Manhorethana town. The injured were identified as Abrar, Sayeed, and Aman, also from Manhorethana. The accident occurred around 9 pm on the Jhalawar-Eklera state highway when the car, traveling from Jhalawar, swerved and hit the bridge wall before falling into a 10-15 foot deep ditch, according to Manhorethana police station SHO Ajit Choudhary. Suhail Mohammad died on the spot, while Sameer Shah succumbed to his injuries during treatment at a Jhalawar hospital on Sunday morning. One of the injured was transferred to SMS Hospital in Jaipur for further treatment, while the other two remain hospitalized in Kota in critical condition. Police have registered an accidental case and are investigating the incident. The bodies of the deceased were handed over to their families after post-mortem examinations on Sunday morning. Explore Your Financial Landscape with Personalized Credit Insights."," Feb 12, 2024, 08:31 IST"
5,https://timesofindia.indiatimes.com/india/3-killed-12-injured-as-car-falls-into-gorge-in-j-ks-kishtwar/articleshow/107578941.cms,"NEW DELHI: Three individuals, including an infant, lost their lives, and 12 others sustained injuries in Jammu and Kashmir's Kishtwar district when an SUV skidded off the road and plunged into a deep gorge officials said on Saturday. The accident occurred late Friday evening when the overloaded passenger vehicle met with the accident at the Hakoo village on the Gulabgarh-Machail road , the officials said. Three individuals—Daya Krishan aged 36 years old, Sabita Devi aged 30 years old, and a 15-day-old boy— were killed and 12 others were injured in the accident, Officials added. Officials further informed that four critically injured individuals were hospitalised at the Government Medical College (GMC) in Jammu for specialised treatment. The Kishtwar district administration promptly declared an ex-gratia relief of Rs 50,000 for the families of those deceased and Rs 10,000 for the critically injured under the District Red Cross Fund. Explore Your Financial Landscape with Personalized Credit Insights.","Updated: Feb 11, 2024, 09:06 IST"
6,https://timesofindia.indiatimes.com/city/ludhiana/4-killed-2-injured-in-car-truck-collision-on-jammu-jalandhar-national-highway/articleshow/107178539.cms,"JALANDHAR: At least four people were killed, and two sustained injuries in a collision between a car and a truck on the Jammu-Jalandhar National Highway on Saturday. ""A car and truck collided, and five people traveling in the car, out of which four lost their lives on the spot,"" said Har Prem Singh, SHO Dasuha. ""The injured have been admitted to the civil hospital, and we are verifying how this accident happened,"" added SHO Dasuha. (With inputs from agency) Explore Your Financial Landscape with Personalized Credit Insights."," Jan 27, 2024, 09:08 IST"
7,https://timesofindia.indiatimes.com/city/shimla/1-killed-3-injured-as-leopard-pounces-on-car-in-himachal-pradeshs-bilaspur/articleshow/107479317.cms,"BILASPUR : One person was killed and three others sustained injuries when a leopard suddenly attacked a car carrying passengers near Hawan village last night, as reported by a government spokesperson on Wednesday. The passengers were returning from a wedding in Mandi district when the attack occurred, causing the vehicle to plummet 150 feet into a nearby gorge. According to the spokesperson, the driver of the car, Himmat Singh, was killed, and three others were injured when the leopard leaped onto the vehicle. The impact was so severe that the vehicle plunged into a gorge, he added. Upon learning about the incident, the nearby villagers informed the police, and the injured were promptly taken to the hospital for treatment. The spokesperson further stated that at the hospital, doctors declared Himmat Singh as brought dead. The Ghumarwin police had sent the deceased's body to the Civil Hospital for post-mortem examination, and a case of accident had been registered, he added. Further investigation into the matter is ongoing, stated the spokesperson. (With inputs from PTI) Explore Your Financial Landscape with Personalized Credit Insights.","Updated: Feb 7, 2024, 12:31 IST"
8,https://timesofindia.indiatimes.com/city/mumbai/car-rolls-off-slope-due-to-tyre-burst-in-palghar-2-dead-4-hurt/articleshow/107446381.cms,"MUMBAI: Two men died and four others were injured when the car they were travelling in turned turtle and rolled down a slope after one of the tyres of the vehicle burst in Palghar early Sunday morning. The six men from Bhadave village in Palghar were on their way for a cricket match at Nagzari village, around 42km away, the police said, adding that they would often travel in and around Palghar for cricket tournaments. At Garvashet village, one of the tyres burst around 6.30 am, killing the two in the front seat - Chandrakant Patil (40) and Utkesh Raut (27) - on the spot. It is still to be ascertained as to who was driving the car. Locals and people from passing vehicle rushed to help those in the car. The other four in the rear seat - Mayur Vaidya, Lokesh Vaidya, Dhiraj Patil and Meet Raut - all in their 20s, were were rescued. They have been admitted to a private hospital in Boisar. Statements of the injured are still to be recorded. The police said they are still to verify if the car was speeding. Cricket bats and tennis balls were found in the boot. Explore Your Financial Landscape with Personalized Credit Insights.","Updated: Feb 6, 2024, 10:27 IST"
9,https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/former-chennai-mayors-son-and-director-vetri-duraisamy-missing-after-car-falls-into-sutlej-river/articleshow/107427856.cms,"The former Mayor of Chennai, Saidai Duraisamy's son, Vetri Duraisamy, who had directed the film ' Endraavathu Oru Naal ' starring Vidharth and Remya Nambeesan, has been missing after his vehicle fell into the Sutlej river in Himachal Pradesh. The accident apparently happened while he was traveling to a picnic spot at Kashang Nala NH 05. According to reports, another person travelling with Vetri Duraisamy was rescued with injuries and admitted to the hospital, while the car driver, identified as Tenzin, was found dead. Vetri Duraisamy has been missing and search has been intensified. #WATCH | Rescue and search operation underway after a car fell into the Sutlej River in Kinnaur yesterday. There were three people present in the car, one person was rescued and admitted to the hospital. This morning the body of the driver, identified as Tenzin, a resident of… pic.twitter.com/yYij7hZ53X — ANI (@ANI) February 5, 2024 'Endraavathu Oru Naal' marked the directorial debut of Vetri Duraisamy, the son of former Mayor of Chennai Saidai Duraisamy. The film had a festival run before it's theatrical release, winning 43 awards across various film festivals.","Updated: Feb 5, 2024, 17:06 IST"
