,ID,JSON_String,JSON_Dict,time_of_day,reason,vehicles
0,107938160,"{'time_of_day': 'NA', 'reason': 'Negligence', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'Negligence', 'vehicles': ['Car']}",NA,Negligence,['Car']
1,107821301,"{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}",night,Collision,"['Car', 'Commercial Vehicle']"
2,107790964,"{'time_of_day': 'morning', 'reason': 'External influences', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'morning', 'reason': 'External influences', 'vehicles': ['Car', 'Commercial Vehicle']}",morning,External influences,"['Car', 'Commercial Vehicle']"
3,107737101,"{'time_of_day': 'morning', 'reason': 'Speed', 'vehicles': ['Car']}","{'time_of_day': 'morning', 'reason': 'Speed', 'vehicles': ['Car']}",morning,Speed,['Car']
4,107897709,"{'time_of_day': 'night', 'reason': 'External influences', 'vehicles': ['Car']}","{'time_of_day': 'night', 'reason': 'External influences', 'vehicles': ['Car']}",night,External influences,['Car']
5,107874233,"{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Car']}",NA,Collision,['Car']
6,107837229,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}",NA,NA,['Car']
7,107619624,"{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Commercial Vehicle', 'Car']}","{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Commercial Vehicle', 'Car']}",NA,Collision,"['Commercial Vehicle', 'Car']"
8,107806086,"{'time_of_day': 'morning', 'reason': 'Driving Under Influence', 'vehicles': ['Car', 'Car']}","{'time_of_day': 'morning', 'reason': 'Driving Under Influence', 'vehicles': ['Car', 'Car']}",morning,Driving Under Influence,"['Car', 'Car']"
9,107443549,"{'time_of_day': 'evening', 'reason': 'Collision', 'vehicles': ['Car']}","{'time_of_day': 'evening', 'reason': 'Collision', 'vehicles': ['Car']}",evening,Collision,['Car']
